order_id,customer_name,customer_location,restaurant_name,cuisine,order_date,delivery_time_minutes,order_amount,delivery_partner,payment_method,rating,review_text,review_date,discount_applied,restaurant_location
100018,Customer_728,Al Ain,Royal Dine,Italian,2023-12-18,51,156.65,Talabat,Wallet,4,Poor,2023-12-20,False,Ajman
100019,Customer_827,Dubai,Royal Dine,Italian,2023-08-24,59,92.5,Talabat,Wallet,3,Poor,2023-08-26,False,Dubai
100020,Customer_406,Al Ain,Royal Dine,Chinese,2023-06-23,45,68.15,Talabat,Card,1,Very fast delivery,2023-06-26,False,Sharjah
100021,Customer_1819,Ajman,Urban Bites,Chinese,2023-02-23,34,195.63,Zomato,Card,1,Average,2023-02-24,False,Sharjah
100022,Customer_556,Dubai,Taste Corner,Chinese,2023-06-08,44,193.89,Careem,Wallet,3,Very fast delivery,2023-06-13,False,Sharjah
100023,Customer_1495,Al Ain,Royal Dine,Fast Food,2023-12-20,59,52.46,Careem,Card,2,Food was cold,2023-12-24,False,Ajman
100024,Customer_70,Sharjah,Urban Bites,Fast Food,2023-09-07,56,186.16,Careem,Cash,4,Average,2023-09-11,False,Abu Dhabi
100025,Customer_513,Al Ain,Spice Kitchen,Chinese,2023-08-01,57,21.74,Talabat,Cash,3,Food was cold,2023-08-06,True,Ajman
100026,Customer_1429,Al Ain,Taste Corner,Italian,2023-03-17,47,76.6,Careem,Card,1,Food was cold,2023-03-18,False,Abu Dhabi
100027,Customer_40,Sharjah,Food Hub,Fast Food,2023-04-13,25,153.92,Deliveroo,Card,5,Food was cold,2023-04-15,True,Ajman
100028,Customer_444,Al Ain,Urban Bites,Chinese,2023-03-06,23,43.59,Zomato,Card,1,Very fast delivery,2023-03-11,False,Sharjah
100029,Customer_221,Dubai,Taste Corner,Fast Food,2023-11-05,56,57.07,Deliveroo,Cash,2,Average,2023-11-05,False,Dubai
100030,Customer_1178,Al Ain,Royal Dine,Italian,2023-02-15,38,31.32,Deliveroo,Wallet,5,Excellent,2023-02-17,False,Abu Dhabi
100031,Customer_710,Al Ain,Food Hub,Fast Food,2023-11-01,49,21.55,Talabat,Cash,1,Excellent,2023-11-01,False,Dubai
100032,Customer_873,Abu Dhabi,Royal Dine,Chinese,2023-08-11,25,149.47,Deliveroo,Cash,5,Average,2023-08-16,True,Ajman
100033,Customer_563,Ajman,Spice Kitchen,Indian,2023-01-16,44,99.98,Deliveroo,Cash,3,Food was cold,2023-01-18,False,Abu Dhabi
100034,Customer_657,Sharjah,Food Hub,Indian,2023-05-04,53,79.92,Talabat,Cash,5,Average,2023-05-04,True,Sharjah
100035,Customer_1088,Al Ain,Spice Kitchen,Chinese,2023-06-02,58,133.98,Talabat,Cash,3,Poor,2023-06-02,True,Dubai
100036,Customer_236,Abu Dhabi,Taste Corner,Arabic,2023-08-15,32,22.06,Careem,Card,5,Very fast delivery,2023-08-15,False,Abu Dhabi
100037,Customer_268,Dubai,Royal Dine,Italian,2023-03-17,53,40.45,Talabat,Card,3,Average,2023-03-17,True,Ajman
100038,Customer_1762,Sharjah,Taste Corner,Chinese,2023-09-14,24,190.73,Zomato,Wallet,2,Very fast delivery,2023-09-16,False,Al Ain
100039,Customer_690,Ajman,Taste Corner,Arabic,2023-11-14,25,81.29,Talabat,Wallet,3,Good,2023-11-16,False,Sharjah
100040,Customer_988,Abu Dhabi,Spice Kitchen,Indian,2023-06-07,48,186.75,Talabat,Wallet,5,Excellent,2023-06-09,False,Abu Dhabi
100041,Customer_230,Al Ain,Urban Bites,Arabic,2023-11-06,31,75.95,Talabat,Cash,4,Average,2023-11-11,True,Dubai
100042,Customer_1890,Al Ain,Spice Kitchen,Chinese,2023-10-06,39,74.59,Deliveroo,Cash,1,Very fast delivery,2023-10-11,False,Sharjah
100043,Customer_1447,Dubai,Spice Kitchen,Chinese,2023-07-02,51,69.25,Careem,Card,1,Excellent,2023-07-04,False,Ajman
100044,Customer_168,Ajman,Food Hub,Arabic,2023-12-09,33,110.03,Talabat,Cash,1,Good,2023-12-10,False,Sharjah
100045,Customer_436,Al Ain,Royal Dine,Arabic,2023-07-09,44,58.2,Zomato,Card,2,Average,2023-07-14,False,Abu Dhabi
100046,Customer_1186,Sharjah,Urban Bites,Indian,2023-02-14,55,121.11,Deliveroo,Cash,3,Average,2023-02-18,True,Sharjah
100047,Customer_1867,Sharjah,Food Hub,Fast Food,2023-05-28,37,77.23,Deliveroo,Cash,4,Excellent,2023-06-02,False,Sharjah
100048,Customer_303,Al Ain,Urban Bites,Indian,2023-10-14,38,149.38,Talabat,Card,1,Very fast delivery,2023-10-19,False,Dubai
100049,Customer_1511,Abu Dhabi,Food Hub,Fast Food,2023-08-29,41,48.25,Talabat,Cash,3,Very fast delivery,2023-08-30,True,Al Ain
100050,Customer_1849,Abu Dhabi,Food Hub,Indian,2023-07-02,49,59.39,Deliveroo,Card,1,Excellent,2023-07-05,True,Abu Dhabi
100051,Customer_123,Ajman,Spice Kitchen,Arabic,2023-09-02,42,81.29,Deliveroo,Wallet,3,Good,2023-09-03,True,Ajman
100052,Customer_882,Al Ain,Urban Bites,Arabic,2023-08-23,38,148.71,Zomato,Wallet,3,Food was cold,2023-08-26,True,Ajman
100053,Customer_1678,Abu Dhabi,Urban Bites,Italian,2023-01-09,52,114.38,Zomato,Cash,4,Excellent,2023-01-12,True,Al Ain
100054,Customer_509,Abu Dhabi,Spice Kitchen,Fast Food,2023-06-28,26,154.29,Zomato,Cash,3,Food was cold,2023-06-29,True,Ajman
100055,Customer_573,Abu Dhabi,Royal Dine,Indian,2023-07-25,27,23.53,Zomato,Cash,5,Poor,2023-07-28,False,Abu Dhabi
100056,Customer_1736,Dubai,Taste Corner,Fast Food,2023-10-19,39,103.11,Deliveroo,Wallet,4,Average,2023-10-22,True,Abu Dhabi
100057,Customer_705,Sharjah,Royal Dine,Indian,2023-01-12,38,38.15,Deliveroo,Card,3,Excellent,2023-01-12,False,Abu Dhabi
100058,Customer_33,Dubai,Urban Bites,Chinese,2023-04-28,54,152.76,Deliveroo,Wallet,2,Good,2023-04-30,False,Ajman
100059,Customer_401,Abu Dhabi,Royal Dine,Italian,2023-07-07,22,79.91,Talabat,Cash,3,Good,2023-07-11,False,Sharjah
100060,Customer_616,Dubai,Taste Corner,Arabic,2023-01-15,46,87.56,Talabat,Wallet,2,Poor,2023-01-19,False,Ajman
100061,Customer_1535,Sharjah,Taste Corner,Italian,2023-01-19,60,96.22,Careem,Wallet,5,Very fast delivery,2023-01-20,True,Sharjah
100062,Customer_954,Ajman,Food Hub,Italian,2023-10-17,46,130.72,Deliveroo,Cash,2,Average,2023-10-18,True,Sharjah
100063,Customer_1638,Abu Dhabi,Urban Bites,Chinese,2023-11-14,18,174.34,Careem,Wallet,3,Very fast delivery,2023-11-19,True,Dubai
100064,Customer_1512,Abu Dhabi,Urban Bites,Indian,2023-11-09,15,146.76,Deliveroo,Cash,5,Excellent,2023-11-10,False,Sharjah
100065,Customer_213,Dubai,Royal Dine,Italian,2023-01-21,41,131.88,Deliveroo,Card,1,Food was cold,2023-01-23,True,Ajman
100066,Customer_711,Sharjah,Food Hub,Italian,2023-03-17,15,82.03,Talabat,Cash,4,Food was cold,2023-03-18,False,Dubai
100067,Customer_59,Abu Dhabi,Royal Dine,Arabic,2023-04-13,50,88.21,Zomato,Wallet,5,Average,2023-04-16,True,Abu Dhabi
100068,Customer_1162,Ajman,Urban Bites,Chinese,2023-09-03,48,22.91,Deliveroo,Wallet,1,Average,2023-09-07,True,Dubai
100069,Customer_1887,Sharjah,Spice Kitchen,Italian,2023-11-13,43,144.85,Zomato,Wallet,2,Very fast delivery,2023-11-15,False,Sharjah
100070,Customer_405,Al Ain,Royal Dine,Chinese,2023-11-21,59,69.6,Talabat,Card,1,Average,2023-11-24,False,Abu Dhabi
100071,Customer_344,Sharjah,Royal Dine,Italian,2023-07-08,36,158.59,Deliveroo,Cash,2,Average,2023-07-13,True,Ajman
100072,Customer_956,Dubai,Urban Bites,Fast Food,2023-04-09,51,98.91,Talabat,Wallet,5,Poor,2023-04-10,False,Sharjah
100073,Customer_237,Dubai,Food Hub,Chinese,2023-10-21,36,51.95,Zomato,Card,2,Excellent,2023-10-24,False,Abu Dhabi
100074,Customer_1168,Ajman,Royal Dine,Chinese,2023-06-09,30,67.2,Zomato,Cash,4,Very fast delivery,2023-06-12,False,Dubai
100075,Customer_1539,Ajman,Royal Dine,Indian,2023-03-28,17,166.51,Careem,Wallet,3,Excellent,2023-03-28,False,Ajman
100076,Customer_1991,Abu Dhabi,Spice Kitchen,Arabic,2023-07-16,41,49.41,Zomato,Wallet,2,Excellent,2023-07-19,True,Ajman
100077,Customer_609,Abu Dhabi,Taste Corner,Chinese,2023-06-02,17,57.19,Deliveroo,Card,5,Food was cold,2023-06-05,False,Ajman
100078,Customer_1353,Abu Dhabi,Taste Corner,Arabic,2023-10-15,16,139.39,Talabat,Wallet,3,Food was cold,2023-10-16,False,Ajman
100079,Customer_1372,Sharjah,Spice Kitchen,Indian,2023-04-17,39,199.18,Zomato,Card,4,Very fast delivery,2023-04-22,False,Abu Dhabi
100080,Customer_1917,Ajman,Taste Corner,Italian,2023-07-23,53,59.51,Deliveroo,Cash,5,Poor,2023-07-27,True,Ajman
100081,Customer_1517,Abu Dhabi,Taste Corner,Italian,2023-02-06,27,136.33,Careem,Wallet,4,Excellent,2023-02-10,True,Sharjah
100082,Customer_1642,Sharjah,Food Hub,Indian,2023-09-08,47,152.95,Deliveroo,Card,2,Good,2023-09-13,True,Sharjah
100083,Customer_1053,Abu Dhabi,Royal Dine,Arabic,2023-09-01,41,153.59,Zomato,Wallet,4,Poor,2023-09-05,False,Dubai
100084,Customer_1669,Al Ain,Urban Bites,Arabic,2023-04-12,27,74.16,Careem,Card,1,Good,2023-04-16,True,Abu Dhabi
100085,Customer_1243,Sharjah,Spice Kitchen,Chinese,2023-02-09,17,111.6,Zomato,Wallet,2,Poor,2023-02-09,False,Dubai
100086,Customer_1551,Ajman,Taste Corner,Italian,2023-07-08,41,185.05,Zomato,Card,5,Average,2023-07-11,True,Dubai
100087,Customer_323,Abu Dhabi,Food Hub,Arabic,2023-11-25,52,139.59,Zomato,Card,1,Very fast delivery,2023-11-27,False,Dubai
100088,Customer_18,Abu Dhabi,Spice Kitchen,Arabic,2023-01-25,17,86.98,Careem,Card,2,Poor,2023-01-30,False,Al Ain
100089,Customer_737,Sharjah,Spice Kitchen,Fast Food,2023-10-06,33,134.67,Careem,Wallet,4,Very fast delivery,2023-10-10,True,Al Ain
100090,Customer_12,Sharjah,Food Hub,Chinese,2023-07-19,24,154.67,Deliveroo,Card,5,Average,2023-07-20,False,Sharjah
100091,Customer_1357,Ajman,Royal Dine,Italian,2023-07-01,32,133.45,Zomato,Wallet,2,Food was cold,2023-07-05,True,Sharjah
100092,Customer_837,Abu Dhabi,Urban Bites,Chinese,2023-05-02,17,57.9,Deliveroo,Card,1,Food was cold,2023-05-05,True,Dubai
100093,Customer_65,Al Ain,Urban Bites,Chinese,2023-04-19,55,130.42,Zomato,Wallet,2,Excellent,2023-04-22,False,Dubai
100094,Customer_330,Sharjah,Urban Bites,Arabic,2023-10-05,57,181.82,Talabat,Wallet,2,Poor,2023-10-09,True,Sharjah
100095,Customer_1830,Ajman,Urban Bites,Fast Food,2023-06-24,40,26.93,Talabat,Wallet,3,Poor,2023-06-26,False,Ajman
100096,Customer_1707,Abu Dhabi,Urban Bites,Fast Food,2023-05-15,32,60.68,Careem,Wallet,3,Good,2023-05-20,False,Abu Dhabi
100097,Customer_469,Al Ain,Urban Bites,Indian,2023-02-08,26,159.15,Talabat,Wallet,2,Very fast delivery,2023-02-13,False,Sharjah
100098,Customer_602,Abu Dhabi,Taste Corner,Indian,2023-06-23,29,148.19,Deliveroo,Card,1,Excellent,2023-06-24,False,Dubai
100099,Customer_1165,Ajman,Taste Corner,Italian,2023-06-22,58,75.87,Talabat,Cash,1,Average,2023-06-26,False,Ajman
100100,Customer_1461,Ajman,Taste Corner,Italian,2023-04-02,38,187.98,Deliveroo,Wallet,1,Food was cold,2023-04-03,True,Sharjah
100101,Customer_943,Dubai,Urban Bites,Fast Food,2023-11-30,50,28.27,Deliveroo,Wallet,1,Very fast delivery,2023-12-02,True,Al Ain
100102,Customer_327,Sharjah,Urban Bites,Indian,2023-05-25,27,48.39,Careem,Card,4,Good,2023-05-27,False,Ajman
100103,Customer_1977,Sharjah,Spice Kitchen,Arabic,2023-10-30,52,43.2,Talabat,Card,3,Food was cold,2023-10-30,False,Sharjah
100104,Customer_257,Ajman,Food Hub,Indian,2023-02-02,40,118.15,Zomato,Cash,2,Food was cold,2023-02-07,True,Abu Dhabi
100105,Customer_47,Abu Dhabi,Food Hub,Italian,2023-11-02,20,110.25,Talabat,Card,5,Good,2023-11-04,True,Ajman
100106,Customer_1265,Ajman,Royal Dine,Indian,2023-11-18,19,139.88,Talabat,Card,1,Excellent,2023-11-23,True,Al Ain
100107,Customer_833,Sharjah,Urban Bites,Indian,2023-08-07,34,119.16,Careem,Card,2,Food was cold,2023-08-09,False,Al Ain
100108,Customer_833,Abu Dhabi,Royal Dine,Indian,2023-03-09,49,55.12,Deliveroo,Card,5,Very fast delivery,2023-03-09,True,Al Ain
100109,Customer_952,Dubai,Royal Dine,Italian,2023-10-31,17,149.29,Careem,Cash,5,Poor,2023-10-31,False,Ajman
100110,Customer_1343,Dubai,Food Hub,Arabic,2023-10-25,22,27.05,Talabat,Card,5,Good,2023-10-29,True,Sharjah
100111,Customer_665,Sharjah,Royal Dine,Fast Food,2023-02-10,43,136.62,Talabat,Cash,1,Very fast delivery,2023-02-12,True,Ajman
100112,Customer_459,Dubai,Food Hub,Chinese,2023-09-06,46,138.54,Zomato,Cash,1,Excellent,2023-09-11,True,Sharjah
100113,Customer_151,Sharjah,Spice Kitchen,Chinese,2023-12-14,53,70.65,Talabat,Cash,5,Very fast delivery,2023-12-16,False,Ajman
100114,Customer_1453,Ajman,Urban Bites,Arabic,2023-05-24,43,51.13,Zomato,Card,4,Good,2023-05-25,True,Ajman
100115,Customer_1349,Ajman,Urban Bites,Chinese,2023-07-19,43,154.47,Deliveroo,Card,3,Average,2023-07-22,False,Sharjah
100116,Customer_1962,Al Ain,Food Hub,Fast Food,2023-02-07,37,32.85,Careem,Wallet,5,Good,2023-02-09,True,Al Ain
100117,Customer_1893,Sharjah,Taste Corner,Italian,2023-01-06,41,192.78,Deliveroo,Card,4,Food was cold,2023-01-09,True,Al Ain
100118,Customer_1594,Sharjah,Royal Dine,Chinese,2023-08-02,30,195.84,Deliveroo,Wallet,3,Food was cold,2023-08-04,True,Al Ain
100119,Customer_229,Abu Dhabi,Spice Kitchen,Chinese,2023-07-21,56,132.77,Deliveroo,Cash,4,Poor,2023-07-21,False,Ajman
100120,Customer_535,Abu Dhabi,Food Hub,Italian,2023-09-14,36,146.98,Deliveroo,Cash,4,Average,2023-09-18,True,Ajman
100121,Customer_483,Dubai,Royal Dine,Chinese,2023-08-12,50,128.93,Zomato,Card,4,Poor,2023-08-15,False,Al Ain
100122,Customer_1900,Dubai,Urban Bites,Indian,2023-01-12,46,165.3,Deliveroo,Card,2,Average,2023-01-17,False,Ajman
100123,Customer_820,Abu Dhabi,Spice Kitchen,Indian,2023-09-29,44,140.49,Careem,Cash,1,Very fast delivery,2023-10-01,False,Abu Dhabi
100124,Customer_26,Sharjah,Royal Dine,Fast Food,2023-06-13,30,166.37,Careem,Wallet,1,Average,2023-06-17,False,Abu Dhabi
100125,Customer_1698,Sharjah,Spice Kitchen,Indian,2023-05-06,33,98.5,Deliveroo,Card,2,Excellent,2023-05-10,False,Ajman
100126,Customer_112,Ajman,Spice Kitchen,Chinese,2023-12-20,57,106.65,Zomato,Card,3,Very fast delivery,2023-12-22,False,Sharjah
100127,Customer_152,Abu Dhabi,Spice Kitchen,Italian,2023-11-27,27,75.66,Careem,Card,5,Excellent,2023-11-27,True,Al Ain
100128,Customer_260,Dubai,Spice Kitchen,Italian,2023-12-17,58,168.65,Talabat,Wallet,3,Poor,2023-12-21,False,Sharjah
100129,Customer_1131,Dubai,Food Hub,Fast Food,2023-04-19,44,62.94,Deliveroo,Wallet,1,Good,2023-04-24,False,Ajman
100130,Customer_837,Sharjah,Royal Dine,Indian,2023-10-14,49,35.74,Deliveroo,Card,2,Food was cold,2023-10-14,True,Dubai
100131,Customer_279,Ajman,Food Hub,Fast Food,2023-07-09,34,54.76,Careem,Cash,1,Very fast delivery,2023-07-12,False,Ajman
100132,Customer_1187,Al Ain,Royal Dine,Chinese,2023-11-12,28,149.8,Talabat,Card,2,Average,2023-11-17,False,Al Ain
100133,Customer_270,Sharjah,Urban Bites,Arabic,2023-06-21,21,184.17,Zomato,Cash,5,Excellent,2023-06-21,False,Al Ain
100134,Customer_1790,Sharjah,Food Hub,Italian,2023-09-09,40,20.21,Deliveroo,Card,4,Good,2023-09-11,True,Dubai
100135,Customer_1799,Sharjah,Food Hub,Arabic,2023-06-13,33,150.57,Deliveroo,Card,1,Food was cold,2023-06-13,False,Ajman
100136,Customer_1335,Ajman,Taste Corner,Arabic,2023-07-18,21,139.81,Deliveroo,Cash,3,Food was cold,2023-07-19,False,Ajman
100137,Customer_604,Sharjah,Spice Kitchen,Chinese,2023-10-06,55,95.58,Deliveroo,Wallet,4,Excellent,2023-10-08,True,Abu Dhabi
100138,Customer_1274,Ajman,Spice Kitchen,Arabic,2023-08-31,18,86.85,Zomato,Wallet,4,Very fast delivery,2023-09-03,False,Ajman
100139,Customer_1856,Dubai,Spice Kitchen,Chinese,2023-12-19,42,41.12,Careem,Cash,2,Poor,2023-12-24,True,Dubai
100140,Customer_388,Sharjah,Food Hub,Fast Food,2023-07-14,21,141.39,Talabat,Cash,5,Average,2023-07-19,True,Abu Dhabi
100141,Customer_517,Al Ain,Royal Dine,Fast Food,2023-10-09,19,72.7,Talabat,Wallet,1,Good,2023-10-14,False,Al Ain
100142,Customer_453,Dubai,Royal Dine,Indian,2023-03-21,18,67.5,Deliveroo,Card,1,Average,2023-03-23,True,Ajman
100143,Customer_1709,Dubai,Royal Dine,Arabic,2023-08-19,34,112.24,Deliveroo,Wallet,4,Excellent,2023-08-23,True,Abu Dhabi
100144,Customer_581,Sharjah,Urban Bites,Indian,2023-01-14,57,47.71,Zomato,Cash,2,Good,2023-01-14,False,Al Ain
100145,Customer_360,Sharjah,Urban Bites,Chinese,2023-12-06,40,145.52,Talabat,Cash,3,Good,2023-12-06,True,Abu Dhabi
100146,Customer_1518,Ajman,Urban Bites,Chinese,2023-12-02,19,102.75,Deliveroo,Cash,4,Good,2023-12-06,True,Dubai
100147,Customer_1920,Ajman,Food Hub,Chinese,2023-11-09,41,179.79,Careem,Card,3,Food was cold,2023-11-09,False,Dubai
100148,Customer_1511,Abu Dhabi,Urban Bites,Arabic,2023-12-11,46,84.76,Talabat,Cash,5,Very fast delivery,2023-12-15,True,Dubai
100149,Customer_1029,Ajman,Taste Corner,Italian,2023-03-22,16,197.05,Zomato,Card,1,Good,2023-03-27,False,Dubai
100150,Customer_229,Abu Dhabi,Taste Corner,Chinese,2023-02-23,18,22.34,Zomato,Wallet,3,Food was cold,2023-02-26,False,Ajman
100151,Customer_1424,Abu Dhabi,Royal Dine,Arabic,2023-04-06,27,42.61,Zomato,Wallet,2,Poor,2023-04-10,True,Sharjah
100152,Customer_864,Ajman,Urban Bites,Fast Food,2023-03-30,43,179.95,Careem,Card,4,Poor,2023-04-03,True,Sharjah
100153,Customer_72,Al Ain,Taste Corner,Chinese,2023-03-05,26,59.59,Deliveroo,Card,3,Average,2023-03-06,False,Al Ain
100154,Customer_836,Al Ain,Royal Dine,Indian,2023-01-31,49,30.16,Zomato,Cash,4,Poor,2023-01-31,False,Sharjah
100155,Customer_975,Sharjah,Urban Bites,Arabic,2023-07-24,25,28.87,Zomato,Wallet,2,Good,2023-07-28,False,Al Ain
100156,Customer_1017,Abu Dhabi,Royal Dine,Indian,2023-05-29,32,108.57,Careem,Cash,2,Excellent,2023-05-29,False,Abu Dhabi
100157,Customer_101,Dubai,Royal Dine,Chinese,2023-03-30,60,157.54,Deliveroo,Card,3,Poor,2023-03-31,False,Sharjah
100158,Customer_649,Al Ain,Royal Dine,Indian,2023-04-03,23,174.34,Talabat,Cash,2,Excellent,2023-04-04,False,Al Ain
100159,Customer_1168,Ajman,Urban Bites,Chinese,2023-08-15,55,52.9,Deliveroo,Wallet,1,Food was cold,2023-08-17,True,Ajman
100160,Customer_1589,Dubai,Food Hub,Arabic,2023-05-09,57,106.02,Talabat,Cash,5,Poor,2023-05-11,False,Ajman
100161,Customer_1591,Ajman,Taste Corner,Indian,2023-10-29,23,107.13,Careem,Cash,5,Poor,2023-10-29,False,Ajman
100162,Customer_632,Sharjah,Urban Bites,Fast Food,2023-10-16,18,44.23,Careem,Wallet,5,Very fast delivery,2023-10-19,True,Ajman
100163,Customer_1180,Abu Dhabi,Urban Bites,Arabic,2023-04-26,41,163.94,Talabat,Cash,5,Average,2023-04-26,False,Al Ain
100164,Customer_365,Ajman,Taste Corner,Arabic,2023-01-21,49,69.59,Zomato,Wallet,3,Very fast delivery,2023-01-25,True,Abu Dhabi
100165,Customer_256,Al Ain,Food Hub,Arabic,2023-04-14,36,191.43,Careem,Card,2,Good,2023-04-18,True,Abu Dhabi
100166,Customer_1589,Ajman,Royal Dine,Indian,2023-12-31,26,50.03,Careem,Wallet,4,Good,2024-01-04,False,Ajman
100167,Customer_1378,Ajman,Taste Corner,Italian,2023-04-20,27,127.73,Zomato,Card,3,Poor,2023-04-21,True,Ajman
100168,Customer_509,Al Ain,Urban Bites,Arabic,2023-01-30,43,170.58,Talabat,Wallet,4,Excellent,2023-02-01,False,Sharjah
100169,Customer_363,Abu Dhabi,Taste Corner,Fast Food,2023-09-27,52,139.89,Talabat,Card,2,Good,2023-10-01,False,Sharjah
100170,Customer_482,Sharjah,Urban Bites,Indian,2023-12-06,21,45.82,Zomato,Cash,4,Good,2023-12-08,True,Al Ain
100171,Customer_603,Sharjah,Royal Dine,Fast Food,2023-01-27,21,193.78,Talabat,Cash,4,Good,2023-01-27,False,Dubai
100172,Customer_1942,Abu Dhabi,Taste Corner,Arabic,2023-06-28,47,88.92,Careem,Card,2,Good,2023-07-02,False,Ajman
100173,Customer_875,Ajman,Urban Bites,Fast Food,2023-12-01,56,129.63,Deliveroo,Cash,3,Very fast delivery,2023-12-04,False,Abu Dhabi
100174,Customer_809,Dubai,Food Hub,Chinese,2023-06-14,34,22.49,Deliveroo,Wallet,1,Food was cold,2023-06-19,False,Sharjah
100175,Customer_1552,Abu Dhabi,Taste Corner,Arabic,2023-11-26,43,86.18,Talabat,Wallet,5,Food was cold,2023-11-29,True,Abu Dhabi
100176,Customer_210,Abu Dhabi,Urban Bites,Italian,2023-05-24,15,40.01,Talabat,Wallet,4,Excellent,2023-05-24,False,Ajman
100177,Customer_1319,Al Ain,Spice Kitchen,Arabic,2023-08-25,28,158.5,Talabat,Card,4,Food was cold,2023-08-28,False,Dubai
100178,Customer_676,Abu Dhabi,Royal Dine,Fast Food,2023-06-02,50,141.12,Talabat,Card,2,Poor,2023-06-04,True,Sharjah
100179,Customer_735,Ajman,Spice Kitchen,Indian,2023-10-26,30,55.27,Talabat,Wallet,5,Average,2023-10-26,True,Sharjah
100180,Customer_1757,Dubai,Taste Corner,Italian,2023-03-07,31,113.45,Zomato,Cash,2,Excellent,2023-03-08,False,Al Ain
100181,Customer_680,Sharjah,Food Hub,Fast Food,2023-02-09,21,154.19,Talabat,Cash,1,Very fast delivery,2023-02-11,True,Dubai
100182,Customer_202,Dubai,Food Hub,Indian,2023-10-13,27,108.67,Deliveroo,Card,5,Good,2023-10-16,True,Dubai
100183,Customer_433,Abu Dhabi,Spice Kitchen,Indian,2023-05-20,43,145.35,Deliveroo,Cash,4,Very fast delivery,2023-05-22,True,Al Ain
100184,Customer_1221,Al Ain,Royal Dine,Indian,2023-08-13,50,152.52,Careem,Card,3,Poor,2023-08-16,False,Sharjah
100185,Customer_1571,Sharjah,Food Hub,Arabic,2023-02-21,58,144.53,Deliveroo,Cash,2,Very fast delivery,2023-02-24,False,Dubai
100186,Customer_1680,Al Ain,Urban Bites,Italian,2023-10-09,41,192.8,Zomato,Wallet,1,Excellent,2023-10-14,False,Al Ain
100187,Customer_1668,Dubai,Taste Corner,Italian,2023-09-14,48,69.4,Talabat,Wallet,2,Food was cold,2023-09-19,True,Dubai
100188,Customer_810,Abu Dhabi,Spice Kitchen,Indian,2023-10-22,29,111.52,Deliveroo,Cash,3,Good,2023-10-23,True,Sharjah
100189,Customer_209,Abu Dhabi,Spice Kitchen,Indian,2023-12-23,18,186.42,Talabat,Cash,4,Average,2023-12-25,True,Dubai
100190,Customer_1893,Sharjah,Spice Kitchen,Italian,2023-06-22,46,162.91,Careem,Wallet,1,Good,2023-06-22,False,Sharjah
100191,Customer_1970,Abu Dhabi,Food Hub,Indian,2023-09-16,29,29.2,Careem,Wallet,2,Food was cold,2023-09-20,True,Al Ain
